threshold,tp,tn,fp,fn,precision,recall,fscore
0.0,42,191,2246,0,0.018356643356643356,1.0,0.036051502145922745
0.02,42,1222,1215,0,0.03341288782816229,1.0,0.06466512702078522
0.04,41,1597,840,1,0.046538024971623154,0.9761904761904762,0.08884073672806068
0.06,37,1886,551,5,0.06292517006802721,0.8809523809523809,0.11746031746031746
0.08,36,2083,354,6,0.09230769230769231,0.8571428571428571,0.16666666666666666
0.1,34,2198,239,8,0.12454212454212454,0.8095238095238095,0.21587301587301588
0.12,32,2299,138,10,0.18823529411764706,0.7619047619047619,0.3018867924528302
0.14,30,2348,89,12,0.25210084033613445,0.7142857142857143,0.3726708074534162
0.16,29,2374,63,13,0.31521739130434784,0.6904761904761905,0.43283582089552236
0.18,27,2395,42,15,0.391304347826087,0.6428571428571429,0.4864864864864865
0.2,26,2410,27,16,0.49056603773584906,0.6190476190476191,0.5473684210526316
0.22,24,2417,20,18,0.5454545454545454,0.5714285714285714,0.5581395348837208
0.24,21,2422,15,21,0.5833333333333334,0.5,0.5384615384615384
0.26,20,2426,11,22,0.6451612903225806,0.47619047619047616,0.547945205479452
0.28,19,2432,5,23,0.7916666666666666,0.4523809523809524,0.5757575757575758
0.3,18,2433,4,24,0.8181818181818182,0.42857142857142855,0.5625
0.32,17,2433,4,25,0.8095238095238095,0.40476190476190477,0.5396825396825397
0.34,15,2437,0,27,1.0,0.35714285714285715,0.5263157894736842
0.36,15,2437,0,27,1.0,0.35714285714285715,0.5263157894736842
0.38,13,2437,0,29,1.0,0.30952380952380953,0.4727272727272727
0.4,12,2437,0,30,1.0,0.2857142857142857,0.4444444444444445
0.42,11,2437,0,31,1.0,0.2619047619047619,0.41509433962264153
0.44,11,2437,0,31,1.0,0.2619047619047619,0.41509433962264153
0.46,10,2437,0,32,1.0,0.23809523809523808,0.3846153846153846
0.48,9,2437,0,33,1.0,0.21428571428571427,0.35294117647058826
0.5,7,2437,0,35,1.0,0.16666666666666666,0.2857142857142857
0.52,7,2437,0,35,1.0,0.16666666666666666,0.2857142857142857
0.54,6,2437,0,36,1.0,0.14285714285714285,0.25
0.56,5,2437,0,37,1.0,0.11904761904761904,0.21276595744680848
0.58,5,2437,0,37,1.0,0.11904761904761904,0.21276595744680848
0.6,5,2437,0,37,1.0,0.11904761904761904,0.21276595744680848
0.62,4,2437,0,38,1.0,0.09523809523809523,0.17391304347826084
0.64,4,2437,0,38,1.0,0.09523809523809523,0.17391304347826084
0.66,4,2437,0,38,1.0,0.09523809523809523,0.17391304347826084
0.68,3,2437,0,39,1.0,0.07142857142857142,0.13333333333333333
0.7000000000000001,3,2437,0,39,1.0,0.07142857142857142,0.13333333333333333
0.72,3,2437,0,39,1.0,0.07142857142857142,0.13333333333333333
0.74,3,2437,0,39,1.0,0.07142857142857142,0.13333333333333333
0.76,3,2437,0,39,1.0,0.07142857142857142,0.13333333333333333
0.78,3,2437,0,39,1.0,0.07142857142857142,0.13333333333333333
0.8,2,2437,0,40,1.0,0.047619047619047616,0.0909090909090909
0.8200000000000001,2,2437,0,40,1.0,0.047619047619047616,0.0909090909090909
0.84,2,2437,0,40,1.0,0.047619047619047616,0.0909090909090909
0.86,2,2437,0,40,1.0,0.047619047619047616,0.0909090909090909
0.88,2,2437,0,40,1.0,0.047619047619047616,0.0909090909090909
0.9,2,2437,0,40,1.0,0.047619047619047616,0.0909090909090909
0.92,1,2437,0,41,1.0,0.023809523809523808,0.046511627906976744
0.9400000000000001,0,2437,0,42,0.0,0.0,0.0
0.96,0,2437,0,42,0.0,0.0,0.0
0.98,0,2437,0,42,0.0,0.0,0.0
1.0,0,2437,0,42,0.0,0.0,0.0
